Từ	Nghĩa
Čao (đgt)	Khóet.
Čar 	I. (dt). Tỉnh  }ar dak lak: tỉnh dak lak.
	Ii. (đgt) chẻ. }ar mnu\ng: chẻ lạt.  
Čar adhei (dt)	Vầng trán.
Čar kwar (dt)	Tổ quốc.
Čar tač êngao (dt)	Nước ngịi
Čă (dt)	Hà. }ă [ơ\ng jơ\ng: Hà ăn chân.
Čăm (đgt)	Đánh. }ăm biêng:  đánh đập (hành hung). 
Čăm ƀlê 	Làm thuốc cho cá say.
Čăp	I. (đgt).trói
	Ii. (dt). Bó. Blei dua ]ăp djam bei: mua hai bó rau cải. 
Čăt (đgt)	Mọc. Ktơr ]ăt dlông leh: Ngô đã mọc cao. }ăt êgei: Mọc răng. 
Čăt bĭn (tt)	Chai sần. Plă kngan ]ăt byøn: Bàn tay chai sần.
Čăt oh 	Mốc. Braih ]ăt oh leh: Gạo đã lên mốc.
Čeh (dt)	Cheô (cái cheô). Dua boh ]eh kpiê: Hai cheô rượu.
Čĕ (dt)	Chăt (cháu bốn đời). Aduôn kâo mâo dua ]ô ]e\: Bà tôi có hai đứa chăt.
Čê (dt)	Chè (trà). Mnăm êa ]ê: Uống nước chè (trà).
Čê̆č (đgt)	Giăôûm. }e#] amre#]: Giăôûm ớt.
Čê̆č kdrê̆č (tt)	Tỉ mỉ.
Čhai (đgt)	Bàn ( bàn bạc
Čhao (đgt)	Đánh.}Hao êgei: đánh răng. }hao druôm jơ\ng: đánh giày.
Char (dt)	Thanh la
Chăt (đgt)	Thái (thịt). }hăt ]yøm u\n: Thái thịt heo.   
Chiăm (dt)	Khăn. }hiăm sut: Khăn lau. }hiăm siap jhưng:  Khăn trải bàn. }hiăm gue#]: Khăn trùm. }hiăm băk hrah: Khăn quàng đỏ.
Chiăm gru lăn ala	Lá cờ Tổ quốc.
Chiăm hnun (dt)	Tã lót. Păn ]hiăm hnun kơ anak: Quấn tã lót cho con.
Chiên (dt)	Cheôn. }hiên êsei: Cheôn cơm.  
Chiên mngan (dt)	Cheôn bát.
Chĭ (đgt)	Bán.
Chĭ mnia (đgt)	Buôn bán.  
Chĭ kơ ala tač êngao	Xuất khẩu.
Chŏ (tt)	Bẩn.  
Chŏ mrŏ (tt)	Bẩn thỉu. Jơ\ng kngan ]ho\ mro\: Chân tay bẩu thỉu.
Chŏ djhan (tt)	Dơ bẩn.
Chông (dt)	Vũng nước bẩn.
Chŏng mran (dt)	Đò. Waih ]ho\ng mran: chèo đò.
Čhuang (đgt)	Bước. }huang êbat: Bước đi.
Čhum (dt)	Quần. }hum ao: Quần áo; }hum dlông: Quần dài;}hum đu\t: Quần đùi (quần ngăn).
Čhŭ, čhuai (đgt)	Nhầm
Čhŭñ (đgt)	Nếm. }hu\YÛ [iă kpiê; Nếm chuôt rượu.
Čhưn (đgt)	Chơi. Dôk ]hưn: Ngồi chơi; Nao ]hưn: đi chơi; 
Čhưn ênguê đt)	Tham quan
Čhưn dhing (dt)	Du lịch  
Čiă (đgt)	Gọt (quả)
Čiăng (đgt)	Muốn. 
Čiêm (đgt)	Cho ăn. }iêm u\n: Cho lợn ăn.
Čiêm adei huă	Đuôt cho em ăn.
Čiêm rông (đgt)	Nuôi dạy.
Čiêng (đgt)	Đeo (cặp
Čih(đgt)	Ghi
Čih knăl (dt)	Ghi chuô.  
Čih hră êa drao	Kê đơn thuốc.
Čih rup (đgt)	Họa
Čih mđaŏ (dt)	Chính tả.
Čih mkra (đgt)	Biên soạn. }ih mkra hdruôm hră mblang klei Êđê- Yuăn: Biên soạn sách từ điển Êđê-Việt.
Čĭk (đgt)	Vật. Bi ]yøk: Vật lộn.
Čĭm (dt)	1. Thịt. }yøm ghang: Thịt nướng băôûng vĩ;  }yøm ăm: Thịt nướng; }yøm krô (thu): Thịt khô; }yøm mtah: Thịt tươi (sống); }yøm đeh: Thịt chiên(sào); }yøm ksâo: Thịt dọi; }yøm aruăt:Thịt bạc nhạc. }yøm prayø: Thịt mỡ.
	2. Chim. }yøm ]ap: Chim chóc; }yøm hrai: Chim sẻ; }yøm iăt:  Chim eôn; }yøm jhưng: Con cò; }yøm jông: Con yểng; }yøm kôk: Chim cuốc; }yøm wăt: Chim cuôt; }yøm bhyø: Chim phí; }yøm wyøt ]ô: Chim khách; }yøm [ơ\ng kan: Chim bói cá; }yøm ktyøa: Con vẹt.
Cĭm pun (dt)	Con cheo.
Cing (dt)	Chiêng. Tông ]ing: đánh chiêng.
Čing čhar (dt)	Cồng chiêng.
Čiu (đgt)	Đền. Brei ]iu: băt đền. 
Čĭng čă (dt)	Thăôûn lăôûn.
Čoh (đgt)	1. Mổ. Mnu\ ]oh mkue#: Gà ăn tấm. 
	2. Căn. Ala ]oh jơ\ng êmô: Răn căn chân bò.
	3. Cuốc. }oh lăn: Cuốc đất.
Čoh čuăn	Cơ bản.  
Čoh boh (tt)	Cộc lốc.  
Čŏng (dt)	Đỉnh
Čŏng thơ̆ng (dt)	Tự nguyện.  
Čŏng mâo (dt)	Tự nhiên.  
Čô	1.(dt) Cháu (ông bà gọi). Aduôn [ă ]ô: Bà cõng cháu.
	2. (đgt) Gội. Kâo ]ô ko\: Tôi gội đầu.
	3. ( từ dùng đếm số người: đứa
Cô đơ điêt, čô ƀia ƀiă	Mỗi người một ít .
Côñ (đgt)	Tự ái.  
Cua (đgt)	Vạch đường để chọc lỗ tỉa luôa.
Cuă 	1. (dt) Bã (rượu).  Suai ]uă kpiê ]eh: đổ bã ruợu cần.
	2. (đgt) Thăm. Kâo nao ]uă aduôn kâo: Tôi đi thăm bà tôi.
Cuă mđing (đgt)	Thăm dò.  
Cuă awăng (đgt)	Tuần tra.  
Cuah (dt)	Cát. Lăn ]uah êga: đất cát sỏi. Kdăn ]uah: Bãi cát.
Cuăn (dt)	Qui định.
Cuăn dar (đgt)	Vây kín
Cuê (đt)	Lối mòn (con thuô đi tạo ra)
Cuê nuê	Nối nòi ( tục nối dây trong luật hôn nhân của người Êđê xưa).
Cuh (đgt)	Đốt
Čuh ul (tt)	Buồn nôn.
Čuk (đgt)	1. Uoùi. Eùdeh ]uk lăn: Xe ủi đất.
	2. Dũi. Uyõn êđai ]uk amung hlăm tian ana duah ksâo: Lợn con dũi mõm vào bụng mẹ teãm vuô.
Čung (đgt)	Deãu. }ung êbat: Deãu đi.   
Čung ba (đgt)	Deãu dăt. 
Čuôn k’ŭt (đgt)	Quyoå gối. 
Čuôr (dt)	1. Mái. }uôr sang: Mái nhà.
  	2. Bãi (vùng có nhiều khe suối tiếp nối nhau). }uôr dăng: Khe suôi nối tiếp nhau; }uôr rơ\k: Bãi cỏ ven sông.
Čuôr hip mdơ̆ng	Nóc tủ.
Čuôt (tt)	Bủn xỉn.  
Čuôt knhit (tt)	Hẹp hòi.  
Čur (đgt)	Vót. 
Čut (dt)	Đậu mùa (bệnh).  
Čŭm (đgt)	Hôn
Čŭm hrip (đgt)	Hôn hít.
Čŭr (dt)	Vôi. }u\r [ơ\ng êhăng: Vôi ăn trầu.}U\r mia sang: Vôi queôt nhà. 
Cŭr čih (dt)	Phấn viết. 
Čŭt (đgt)	1. Căm. }u\t wah:  Căm câu; }u\t đyøng kpiê: Căm cần rượu.
	2. Đeo. }u\t buê: đeo bông tai; }u\t krah: đeo nhón.
	3. Mặc (chỉ dùng cho mặc quần) }u\t ]hum: Mặc quần. 
Čŭt mnơ̆ng	Măc mồi câu.
Čư̆ (dt)	Nuôi.
Čư̆ čhiăng (dt)	Nuôi non.  
Čư̆ drông (dt)	Dãy nuôi.
Čư̆ kbuôn tring ahing	Nuôi non trùng điệp.
Čưng (đgt)	Đá.  
Čưng boh (đgt)	Đá bóng.  
Čưng mlâo mnŭ (đgt)	Đá cầu.
	 
	 
D	 
Dai wĭt dai nao (đgt)	Đu đưa.
Dai kngan (đgt)	Đưa tay. Eùbat dai kngan: đi đưa tay. Dai êjao: đưa võng. 
Dam (dt)	Con trai (từ dùng gọi con trai). Eû dam: Con trai ơi.
Dam knai (dt)	Bạn bè trai.   
Dan (đgt)	Aûn xin. Mnuih hiu dan: người đi ăn xin.
Dang (dt)	Đĩa (hát). Dang đyøng mmuyû: đĩa hát
Dar 	I. (đgt) quay. Eùru\m mmông adôk dar: kim đồng hồ còn quay.  
	Ii.(dt) vòng. Sa dar: một vòng.  
Dat (đgt)	Đập (đập đồ vật). Dat k]ok ti dlông jhưng: đập ly trên bàn.
Dap (tt)	Băôûng (băôûng phẳng). Anôk dap: Nơi băôûng phẳng.
Dăng (đgt)	1. Giăng. Dăng yûuăl mă kan: Giăng lưới băt cá.
	2. Chăng (dây). Dăng klei [hu ]hum ao: Chăng dây phơi quần áo. 
Dăng rĕ (dt)	Lá giang.
Dăp (đgt)	Xếp. Dăp dua prue#: Xếp hai hàng. Dăp ]hum ao dưm hlăm hip: Xếp quần áo bỏ vào trong tủ; Dăp pioh mhing: Xếp thành đống. Dăp bi prue#: Xếp theo hàng lối; Dăp rơ riêm: Xếp thứ tự; Dăp bi kpă: Xếp cho thẳng.  
Dăp êmiêt (tt)	Săp xếp. Dăp êmiêt mnơ\ng mnuă hlăm pưk sang khuăt mluăt: Săp xếp đồ đạc trong nhà cho gọn gàng.
Dăp boh pia	Gieo vần.
Dê̆č (đgt)	Trốn (tránh). De#] bruă: Trốn việc; De#] đue# hiu: Trốn đi chơi.  
Dê̆č dar (tt)	Tráo trở.
Dhar kreh (dt)	Văn hĩa.  
Dhiăr (dt)	Chong chóng.
Dhit dhut (tt)	Lề mề.  
Dhŏng (dt)	Dao. Dho\ng riêk m’ar: Dùng dao rọc giấy; Dho\ng khăt: Dao căt; Dho\ng klo\k: Dao găm; Dho\ng ku\p: Dao bầu; Dho\ng kuêh: Dao cạo; Dho\ng krah: Dao cầu; Dho\ng [ơ\ng êhăng: Dao cheãa vôi (ăn trầu); Dho\ng gut: Dao nhíp; Dho\ng k]oh ]yøm: Dao pha; Dho\ng tlo\ êrah: Dao phay; Dho\ng k’kut: Dao xếp.
Dhua (tt)	Liên lụy. Đăm ngă bi dhua truh kơ mnuih mkăn: đừng làm liên lụy đến người khác.
Dhuan (tt) 	Phiền hà
Dhul (dt)	Sương mù. Aguah ưm yan hjan khăng mâo dhul: Sáng sớm mùa mưa thường có sương mù.
Dhŭng (dt)	Nam (miền
Dhut bưng (dt)	Số phận.   
Dhut hdĭp (dt)	1. Số kiếp. Dhut hdyøp [rah [rơp: Số kiếp long đong.
	2. Vận mệnh. Sa djuê ana leh dưi ngă phu\n kơ dhut hdyøp pô: Một dân tộc đã làm vận mệnh của meãnh.
Dhŭp (đgt)	Thụp. Dôk gu\ thu\p ti gu\: Ngồi thụp xuống.
Di ñu, di gơ̆ (đt)	Họ (ngôi thứ ba số ít).
Diăn (dt)	Cây nến. }uh pui diăn: Thăp nến.
Diăn kra (dt)	Ngọc lan. Pe\ mnga diăn kra: Hái hoa ngọc lan.
Dĭng buăl (dt)	Đầy tớ. Dyøng buăl đru bruă kơ mnuih [uôn sang: đầy tớ cho nhân dân.
Djah  (dt)	Rác. Kih djah: Queôt rác.  
Djah djâo  (dt)	Rác rưởi.
Djah djap (tt)	Lôi thôi. Mă bruă djah djap: Làm việc lôi thôi.
Djaih (dt)	Nhựa cây để bóy chim.
Djam (dt)	1. Rau. Djam bei: rau cải; Djam brang: Rau đay; Djam [âo mngưi: Rau thơm; Djam [âo anghir: Rau diếp cá; Djam mlăng: Rau mồng tơi
	2. Canh. Tu\k djam tro\ng: Nấu canh cà.
Djam tam (dt)	Rau (nói chung).
Djam bei boh (dt)	Củ cải.
Djam bei đŭng (dt)	Băp cải (băp suô).
Djam bei hla êrui	Cải xanh.
Djam đrê̆č (dt)	Bèo. Djam đre#] hlăm êa ênao: Bèo trong ao.
Djam bei mnoh hgơr (dt)	Su hào.
Djao (dt)	1. Xơ. Djao êyăn: Xơ mướp. 
	2. Vợt. Tuah kan ho\ng djao: Vớt cá băôûng cái vợt.
Djao wak wai	Màng nhện.
Djă (đgt)	1. Cầm. Djă giê ]ih: Cầm buôt viết. 
	2. Giữ. Djă êdeh waih kơ kâo pom: Giữ xe đạp cho tôi bơm. 
Djă kŏ (đgt)	Đón đầu.
Djă krơ̆ng (đgt)	Đảm nhiệm. 
Djăl (tt)	Mau
Djăl hin (tt)	Mau chóng
Djăl ƀiă (tt)	Nhanh lên
Djăp (tt)	1. Đủ. Mă bruă kno\ng djăp [ơ\ng huă: Làm việc chỉ đủ ăn. 
	2. Các. Eùnu\m djăp mta giê ]ih: đủ các loại buôt.
	3. Mọi
Djiê (đgt)	Chết
Djiê brŭ (tt)	Chết chóc.
Djiê hdĭp (đgt)	Sống chết. Djiê hdyøp mbyøt hrăm: Sống chết có nhau.
Djiê mdriêng (đgt)	Chết tai nạn.
Djiêt (đgt)	Văt.  Djiêt krue# ]êyû: Văt chanh; Djiêt ]hum ao bi thu êa: Văt quần áo cho ráo nước.
Djiêu (tt)	Cạnh. Ti djiêu: Bên cạnh.
Djim (đgt)	Bâu. Ruê djim: Ruồi bâu.
Djiu (đgt)	Rù. Mnu\ djiu: Gà rù.
Djeh djut (tt)	1. Kèo nhèo. Mo# yûu khăng djeh djut êdi: Vợ nó hay kèo nhèo lăm. 
	2. Lặt vặt. Blei du\m mnơ\ng djeh djut: Mua mấy thứ lặt vặt. 
	3. Nhỏ nhen. Mniê anăn snăk: Cô ấy rất nhỏ nhen.
Djĕ djuñ (tt)	Nhẹ nhàng.  
Djik djak (đgt)	Mỉa mai. Tlao djik djak: Cười mỉa mai.
Djĭk djơ̆k (tt)	Lầy lội. Eùlan klông djyøk djơ\k: đường sá lầy lội.
Djhĭt djhĭt (tt)	Sụt sịt. Hia djhyøt djhyøt: Khóc sụt sịt. 
Djhĭt djhŭt (tt)	Dầm dề. }hum ao djhyøt djhu\t msă: Quần áo dầm dề ướt.
Djhông djhông (tt)	Ngân nga. Asăp wao hla djhông djhông: Tiếng sáo diều ngân nga.
Djŏ (tt)	1. Truông. Mnah djo\ anôk ]uăn: Băn truông mục tiêu; Djo\ angyøn: Truông gió. 
	2. Đuông. }ih djo\ boh blu\: Viết đuông từ.
Djŏ ai 	I. (đgt) đăc yô.  
	Ii. (tt) . Thích chí. Djo\ ai tlao bi ariăk: thích chí cười giòn giã.
Djŏ guôp	Thích hợp
Djŏ hnơ̆ng  	Điều hòa. Yan adiê djo\ hnơ\ng: thời tiết điều hòa.
Djŏ tuôm	Liên quan.  
Djŏk (tt)	Chín nhũn. Mtei ksă djo\k: Chuối chín nhũn.
Djuê (dt)	1. Lịi
	2. Họ. Mă djuê amyø: Lấy họ mẹ.
Djuê ana (dt)	Dân tộc.  Djuê ana [iă: Dân tộc thiểu số; Djuê ana lar: Dân tộc đa số. 
Djuê anăn (dt)	Họ tên.
Djuh (đt)	Củi.  
Djŭp (đgt)	Huôt. Dju\p hăt: Huôt thuốc.
Djhŭr djhăr (tt)	Nhầy nhụa.  
Dlai (tt)	Tràn. Eùa dlai: Nước tràn.
Dlăm (đgt)	Liệng
Dlăng (đgt)	1. Đọc. Dlăng hră: đọc sách.
	2. Coi
	3. Xem:  Dlăng rup: Xem tranh; Dlăng Tiwi:Xem ti vi.
Dlăng ba (đgt)	Chăm nom.   
Dlăng klei ruă (đgt)	Khám bệnh.
Dlăng pruê̆ bi kpă	Gióng hàng cho thẳng.
Dlao (đgt)	Chửi
Dlao wač kuač kčĭng (tng): Xè vaí, chưíi bơïi.	 
Dleh (tt)	Khó. Klei tyøng anei dleh: Pheôp tính này khó. 
Dleh knap (tt)	Gian khổ.  
Dleh dlan (tt)	Khó khăn
Dleh êmăn (tt)	Khó nhọc.  
Dliê (dt)	Rừng. Dliê kpal: Rừng dày; Dliê mkuôm: Rừng cấm; Dliê khua: Rừng già.
Dliê tlô (dt)	Phong cảnh.  
Dliu (tt)	Heôo. Djam dliu: Rau uôa.
Dlô (dt)	Não (óc).  
Dlô klang (dt)	Tủy. 
Dlông (tt)	1. Dài. Ao dlông kngan: Aoûo dài tay.
	2. Cao. Aáu dlông hyøn kơ kâo: Nó cao hơn tôi; Dlông awan dhuan: Dáng cao ráo.
Dlông ai (tt)	Nhón nại
Dluih (đgt)	Xoa bóp.  
Dlưh (đgt)	Sập. Dlưh [ăng ê- ưng: Sập hầm.
Dlưh ai (tt)	Cảm động. 
Dlưh trŭn (tt)	Suy sụp. 
Doh (tt)	Sạch.  
Doh bhung (tt)	Sạch sẽ.
Dŏ (dt)	Đồ. Do\ yua hriăm hră: đồ dùng học tập.
Dŏ dô (dt)	Đồ đạc.  
Dôk (đgt)	1. Đang. Kâo dôk mă bruă: Tôi đang làm việc.
	2. Lấy. Dôk mo##: Lấy vợ. Dôk ung: Lấy chồng.
Dôk anôk	Eûoù cư.oä 
Dôk asei lưng	Eûoù trần.
Dôk čhưn	Ngồi chơi.
Dôk dơ̆ng (đgt)	Đứng.
Dôk gŭ (đgt)	Ngồi xuống.
Dôk jhŏng jhư (đgt)	Ngồi xổm.
Dôk kjăp	Eøaén định.
Dôk kăp (đgt) 	Phục kích.
Dôk mang 	Eûoù không.
Dôk hliê (tt) 	Độc thân.
Dôk jŭm dar (đgt)	Ngồi xung quanh.
Dôk suôr (tt)	Găn bó.
Dôk ti	Eûoù tại
Dôk ti krah	Eûoù giữa.
Dŏng (tt)	Cứu.
Dŏng dăt (tt)	Nguông nguẩy.  
Dơ̆k dria (tt)	Nháo nhác. Eùran dơ\k dria hiu duah: Chạy nháo nhác đi teãm.
Dơ̆ng (đgt)	1. Săp. Aáu dơ\ng dôk ung: Nó săp lấy chồng; Dơ\ng truh tian: Chuyển dạ.
	2. Chững. Hđeh mrâo thâo dơ\ng: đứa beô mới biết chững. 
Dơ̆ng mơ̆ng	Từ. Dơ\ng mơ\ng sang kâo truh kơ sang ]ơ năng ai 5km: Từ nhà tôi đến chợ khoảng 5km.
Dơr (đgt)	Chôn (vùi). 
Dơr ƀăng (đgt)	Lấp hố.
Drai (dt)	Thác. Drai êa: Thác nước.
Drang (tt)	Phượng hịng.
Drao (dt)	Bùa
Dră (đgt)	Chống (đỡ). Dră pưk huyø le\ buh: Chống chòi để khỏi đỗ. 
Dră k’iêng (đgt)	Chống nạnh.  
Drei 	I. (đt) ta
	Ii. (dt). Con (từ dùng để đếm số lượng con vật). Dua drei ]yøm: hai con chim; tlâo drei êmô: ba con bò.
Dria dria (tt)	Rôm rả.  
Driah (tt)	Giát. Pơ\ng driah jhưng: đóng giát giường.
Drô̆(dt)	Rọ. Mă u\n bi mu\t hlăm dro#: Băt lợn cho vào rọ.
Drông (đgt)	Đón. Kâo nao drông anak: tôi đi đón con.
Druôm (đgt)	Chặt
Dua (sôú từ)	Hai. Dua pluh: Hai mươi (20); Dua tal: Hai tầng
Dua klei blŭ (dt)	Song ngữ. Drei bi yua dua klei blu\ syøt nao mtô la] hlăm [uôn sang djuê ana hriêt: Chuông ta phải dùng song ngữ khi vào tuyên truyền trong [uôn làng dân tộc thiểu số.
Duah (đgt)	Teãm
Duah ênŭč (đgt)	Gây sự. Duah ênu\] bi mneh msao: Gây  sự để chửi nhau. 
Duah đaŏ (tt)	Aoùo tưởng.
Duah hmư̆ (đgt)	Nghe ngóng.
Duah ksiêm dlăng (dt)	Khảo sát.
Duah ksiêm mkra (đgt)	Nghiên cứu. Duah ksiêm mkra klei ruă truh kơ u\n
Duah hưn (đgt)	Phao tin.
Duah mčeh (đgt)	Bịa đặt. 
Duah mhing (đgt)	Rêu rao. 
Duah mnê̆č (tt)	Mưu mô.
Duah mnê̆č jhat	Aõm mưu
Duam (tt)	Ốm (đau). Ruă duam: ốm đau. 
Duê (dt)	Thơ. Klei duê: Bài thơ. 
Duh bruă(đgt)	Giuôp việc.  
Duh mkra (đgt)	Tổ chức
Duñ (đgt)	Nhặt
Duñ duñ (đgt)	Lẩm bẩm
Duôm (đgt)	Vá. Duôm ]hum ao tyø: vá quần áo rách.
Dŭ (đgt)	Chuyển. Du\ braih ba kơ êdeh: Chuyển gạo ra xe.
Dŭč (đgt)	Đốt . Hông du\]: ong đốt; aguăt du\]: bò cạp đốt.
Dŭm (đt)	1. Mấy? Du\m thu\n? Mấy tuổi?. 
	2. Bao nhiêu? Du\m ]hyø sa ]ăp? Bao nhiêu một bó. 
Dŭm boh sui 	Bao lâu.
Dưi	1. Được. Hđeh năm thu\n dưi nao mu\t hriăm adu\ sa: Trẻ em sáu tuổi được vào học lớp một. 
	2. Đậu. Dưi bi lông mu\t gưl hriăm pro\ng: đậu vào đại học. 
	3. Thăng. }ưng boh dưi leh: đá bóng thăng rồi.
Dưm (đgt)	1.đặt. Rup awa hồ dưm ti dlông jhưng: tượng bác hồ đặt trên bàn. 
	2. Đựng. Giêt dưm kpiê: Chai đựng rượu; Go\ pro\ng dư\m braih: Nồi to đựng gạo.
Dưn (đgt)	Kế thừa
	 
D	 
Da (gt)	1. Với. Brei kâo đa: Cho tôi với. 
 	2. Cả. Đa ih mơh nao: Cả anh cũng đi. 
                                 	3. Nữa. Kâo đa:  Tôi  nữa.
Da đa (ht)	Vân vân. Mâo lu mta kan hdyøp hlăm êa mse\ si kan ko#
Dah	I. (dt). Hào. Sa prăk dua đah: một đồng hai hào.
	Ii.(dt) đánh. Bơ drei hlăp đah tuôr: nào chuông ta chơi đánh cù.
Dah da (dt)	Ngực. 
Dal (đgt)	1 Gối. Đal ko\: Gối đầu.
	2. Chèn. Đal pông êdeh: Chèn bánh xe. 
Dang (dt)	1 Luống. Đang djam bei: Luống rau cải.
	2. Vườn. Đang kphê đang ksu Dak Lak: Vườn cà phê vườn cao su Dak Lak. 
	3. Đảng. Đảng drei sa ai ho\ng [uôn sang: đảng ta một lòng veã dân.
Dao (dt)	Đao
Dao đao (tt)	Aõm ấm. Eùa anei đao đao: nước này âm ấm.
Daŏ (đgt)	1. Tin. Kâo đao\  ih la] syøt: Tôi tin anh nói thật. 
	2. Đín. Kno\ng đao\ mtrưm: Chỉ đín mò.
Dar (đgt)	Gõ. Đar ko\: Gõ đầu.
Dat (tt)	Tẹt. Adu\ng đat: Mũi tẹt.
Dă (tt)	Cong. Giê anei đă: Cây này cong.
Dăk (đgt)	Bẻ. Đăk ktơr: Bẻ băp (ngô).
Dăm (bt)	1. Đừng
	2. Ngủ lại. Ih đăm ho\ng hmei: Anh ngủ lại với chuông tôi. 
	3. Chớ. Đăm ngă snăn: Chớ làm như vậy.
Dăng (tt)	Giòn. Eùtak [hu đăng măng ai: đậu phơi giòn quá cỡ.
Deh (đgt)	1. Xào (xào các loại thực phẩm). Đeh ]yøm êmô: Xào thịt bò. 
	2. Chiên. Đeh boh bip: Chiên trứng. 
	3. Rang (rang các loại hạt
Đei (tt)	Quá. Hayû đei: Quá mức.
Đê (dt)	1. Trục. Đê pông êdeh: Trục bánh xe.
	2. Xà ngang dưới sàn nhà dài Êđê.
Đê̆č (đgt)	Làm hoa văn. Arăng đe#] siam snăk: Người ta làm hoa văn rất đẹp.
Đhăn (đgt)            	Quấy. Hđeh điêt hlơr đhăn hia jih sa mlam: Beô ấm đầu quấy khóc suốt đêm.
Đhih đhuaih (tt)	Eõỡn ẹo. Aáu êbat đhih đhuaih: chị đi ưỡn ẹo.
Đhiăk đhiăr 	I.(đgt) ve vẩy. Asâo đhiăk đhiăr ku: chó ve vẩy đuôi.
	Ii.(tt) rông. Eùran hiu đhiăk đhiăr kluôm [uôn: chạy rông khăp xóm.
Đhĭt đhĭt/đơ đhĭt (đgt)	Phất phới. }hiăm gru pưh đhyøt đhyøt: Lá cờ bay phất phới.
Đhuk đhuk (tt)  	Khoan thai. Awan dhuan đhuk đhuk: Dáng dấp khoan thai.
Đi (dt)	Điếm (đĩ).
Đi čơ (tt)	Đĩ điếm. 
Đi đư (tt)	Đong đưa. Aáu gui bu\ng êbat đi đư: nó bước đi cái gùi đong đưa.
Đih (đgt)	Năôûm. Đih đang: Năôûm ngửa; đih ku\p: Năôûm uôp; đih ]iêng: Năôûm nghiêng; đih ku\n năôûm co;  đih sang êa drao: Năôûm viện.
Đih pui (dt)	Eûoù cữ. Truh mlan đih pui: đến tháng ở cữ.
Đing (đgt)	Nghi. Aáu đing amâo djo\: Anh nghi không đuông.
Đing đaŏ (đgt)	Nghi ngờ. 
Đing đang (tt)	Ngả nghiêng. 
Đing đưng (tt)	Bồng bềnh. 
Điâo (dt)	Trái. Tyøng điâo: Bên trái.
Điêt (tt)	1. Nhỏ. Adei điêt: Em beô. 
	2. Beô. Boh mnu\ điêt: Quả trứng gà beô.
Điêt kriêt (tt)	Nhỏ xíu
Điêt dhiêt (tt)	1.Beô nhỏ. Eùđai mnu\ điêt dhiêt: Gà con beô nhỏ.
	2. Chuôt xíu. {iă điêt dhiêt kâo soh: Chuôt xíu nữa tôi sai.
Điŏ (dt)	Nếp. Braih đio\: Gạo nếp; đio\ ê-un [ơ\ng jăk: Xôi dẻo ăn ngon.
Đĭ (đgt)	1. Cưỡi. Kâo đyø  êman: Tôi cưỡi voi. 
	2. Leo. Kâo đyø  kyâo: Tôi leo cây. 
	3. Lên. Kâo đyø sang: Tôi lên nhà.
	4. Đi. Kâo đyø mran: Tôi đi thuyền.
Đĭ ai (đgt)	Động lực.
Đĭ ai krê̆ñ  	Nổi cơn giận
Đĭ ai kơ bruă	Hăng làm việc.
Đĭ ƀiă	Khá hơn. 
Đĭ kyar (bt)	Tiến bộ.
Đĭ đơ̆ (tt)	Chập chững. EYÕ hriăm êbat đyø đơ\: Beô tập đi chập chững.
Đĭng (dt)	Ống. Đyøng êa: ống nước.
Đĭng buôt (dt)	Sáo. I-u\ đyøng buôt: Thổi sáo.
Đĭng jô (dt)	Cuôp. Gru\p [ơ\ng ]ưng boh mâo mă đyøng jô: đội thăng đá banh được thưởng cuôp.
Đĭng khen (dt)	Kèn amônica.
Đĭng kpiê (dt)	Cần rượu.
Đĭng năm (dt)	Kèn bầu sáu ống.
Đĭng nuh (dt)	Ống tra luôa (ống đựng thóc để trỉa luôa trên róy).
Đĭng tiông (dt)	Ống tên.
Dĭng tŭt (dt)	Kèn ống nứa.
Doh (đgt)	1. Chảy. Eùa đoh: Nước chảy. 
	2. Keôo. Eùman đoh kyâo: Voi keôo gỗ.
Dŏ đơñ (tt)	Kệch cỡm. Blu\ yăl đo\ đơyû: aûn nói kệch cỡm.
Dŏk (dt)	Giọng. Đo\k amyø ê-un êdu: Giọng mẹ dịu dàng.
Dŏng đăt (tt)	Đỏng đảnh. Amai anei m’ai đo\ng đăt: chị này ưa đỏng đảnh.
Dŏng đưt (tt)	1. Bấp bênh. Mdhă kyøt đo\ng đưt: Ván kê bấp bênh. 
	2. Gập ghềnh. Eùlan lu boh tâo đo\ng đưt: đường nhiều đá gập ghềnh.
Đŏng dlơt (tt)	Thọt. Jơ\ng đo\ng dlơt: Chân thọt.
Đôk (đgt)	Bóc. Đôk hmôk kyâo: Bóc vỏ cây.
Đơ (trt)	1. Tất cả. Đơ mta mâo jing mbyøt: Tất cả của chung. 
	2. Cỡ. Đơ leh?: Cỡ bao nhiêu?.
	3 Những. Đơ gru đưm đă lă êlâo: Những di tích ngày xưa để lại.
Đơ đip (tt)	Trùng trùng điệp điệp. }ư\ ]hiăng đơ đip: Nuôi non trùng trùng điệp điệp.
Đơ đĭk (tt)	Ngăc. Djiê đơ đyøk: Chết ngăc.
Đơ đhiar (đgt)	Giãy nảy.
Đơ đhiăk (đgt)	Giãy dụa.
Đơ găt (tt)	To.
Đơ găt đơ gĭn (tt)	1. Vĩ đại. Sa bruă ngă đơ găt đơ gyøn: Một công treãnh vĩ đại. 
	2. Rộng lớn. Eùa ênao anei đơ găt đơ gyøn: Hồ này rộng lớn.
Đơl/đơt (tt)	Ngăn.
Đơl đhơl/ đơt dhơt (tt)	Ngăn ngủn.
